サークル名,大学名,都道府県,活動内容,設置区分,X,HomePage,学校コード,設立年度,インカレ,学ロボ,キャチロボ,ロボット相撲大会,ETロボコン,知能ロボコン,水中ロボコン,海洋ロボコン,ひこロボ,鳥人間コンテスト,種コン,モデロケ全国大会,能代宇宙イベント,ARLISS,ALL JAコンテスト,学生フォーミュラ,エコラン,白浜エコカー,U-22 プログラミング,ICPC,SECCON,ISUCON,iGEM
Robot Architect,北海道大学,北海道,ロボット,国立,https://twitter.com/Robot_Architect,https://robot-architect.org,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
北海道大学フォーミュラチーム,北海道大学,北海道,フォーミュラカー,国立,https://x.com/FHT_Hokudai,http://fht-hokudai.com/contents/main.htm,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
北大3Dプリンター研究会(3D研),北海道大学,北海道,工作,国立,https://x.com/hokudai3d,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PCPG,北海道教育大学,北海道,プログラミング,国立,https://x.com/hue_pcpg,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
夢工房,室蘭工業大学,北海道,ロボット,国立,https://x.com/atelierofdream/with_replies,http://atelierofdream.blog75.fc2.com/,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MPC,室蘭工業大学,北海道,プログラミング,国立,https://x.com/mpc_kouhou,http://www.muroran-programming.club/,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
学生宇宙研究開発機構SARD,室蘭工業大学,北海道,ロケット,国立,https://x.com/muroranSARD,https://muroransard.wixsite.com/sard,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
室蘭工業大学 鳥人間部 SkyWizard,室蘭工業大学,北海道,鳥人間,国立,https://x.com/ente_skywizard,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
室蘭工業大学フォーミュラプロジェクト(MFP),室蘭工業大学,北海道,フォーミュラカー,国立,https://x.com/murokoudai,https://www.mfp-murokoudai.com/,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
情報処理技術研究会,北見工業大学,北海道,プログラミング,国立,https://x.com/syorike,https://syoriken.org/,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
